name,rank,points,Best result 1,Best result 2,Best result 3,2023-04-22_Enschede_rank,2023-04-22_Enschede_points,2023-04-22_Enschede_points_current,2023-05-27_Groningen_rank,2023-05-27_Groningen_points,2023-05-27_Groningen_points_current,2023-06-17_Amsterdam_rank,2023-06-17_Amsterdam_points,2023-06-17_Amsterdam_points_current,2023-09-02_NK_rank,2023-09-02_NK_points,2023-09-02_NK_points_current,2023-11-26_Enschede_rank,2023-11-26_Enschede_points,2023-11-26_Enschede_points_current,2024-01-20_Amsterdam_rank,2024-01-20_Amsterdam_points,2024-01-20_Amsterdam_points_current,2024-02-11_Groningen_rank,2024-02-11_Groningen_points,2024-02-11_Groningen_points_current,2024-04-06_Enschede_rank,2024-04-06_Enschede_points,2024-04-06_Enschede_points_current,2024-05-04_Groningen_rank,2024-05-04_Groningen_points,2024-05-04_Groningen_points_current,2024-06-01_Amsterdam_rank,2024-06-01_Amsterdam_points,2024-06-01_Amsterdam_points_current,2024-06-29_NK_rank,2024-06-29_NK_points,2024-06-29_NK_points_current
Tabriz Popatia,98,696,696,,,,,,,,,8,1160,696,,,,,,,,,,,,,,,,,,,,,,,,
Paul Volle,98,696,696,,,,,,,,,8,1160,696,,,,,,,,,,,,,,,,,,,,,,,,
Adéla Janků,100,690,690,,,,,,,,,,,,,,,,,,,,,12,690,690,,,,,,,,,,,,
Daniel Horn,101,686,425,261,,,,,,,,18,435,261,13,531,425,,,,,,,,,,,,,,,,,,,,,
Tom Caniels,102,678,504,174,,,,,,,,37,290,174,,,,,,,,,,,,,15,504,504,,,,,,,,,
Matthijs G,103,675,345,330,,,,,,,,,,,,,,,,,,,,18,345,345,,,,17,330,330,,,,,,
Jasper toebes,104,672,672,,,,,,,,,,,,,,,,,,,,,,,,11,672,672,,,,,,,,,
Jannah Sonnenschein,105,663,330,174,159,28,125,75,20,266,159,40,290,174,,,,,,,,,,,,,,,,19,330,330,,,,,,
Irian Baert,106,660,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,660,660,,,
Toan Pauwels,106,660,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,660,660,,,
Carel van Goch,108,660,660,,,,,,,,,,,,,,,,,,,,,,,,,,,11,660,660,,,,,,
Bart Derks,108,660,660,,,,,,,,,,,,,,,,,,,,,,,,,,,9,660,660,,,,,,
Tessel van Manen,110,639,330,309,,,,,,,,,,,,,,,,,20,309,309,,,,,,,,,,18,330,330,,,
Birk Warnecke,111,600,600,,,1,1000,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lukas Donovan,111,600,600,,,1,1000,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shannon Dieltjes,113,570,495,75,,27,125,75,,,,,,,,,,,,,,,,,,,,,,14,495,495,,,,,,
Martin Sievert,114,566,566,,,,,,,,,,,,11,708,566,,,,,,,,,,,,,,,,,,,,,
Maarten van Beek,115,551,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,551,551
Daan beelen,115,551,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,551,551
Bas Cornelissen,115,551,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,551,551
Aart Jan Lenstra,118,517,517,,,,,,,,,,,,,,,,,,,,,16,517,517,,,,,,,,,,,,
Florian Verduijn,118,517,517,,,,,,,,,,,,,,,,,,,,,14,517,517,,,,,,,,,,,,
Mathias Gerstner,120,495,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,495,495,,,
Franka Tabitha Etzel,121,495,495,,,,,,,,,,,,,,,,,,,,,,,,,,,15,495,495,,,,,,
Koen Franken,121,495,495,,,,,,,,,,,,,,,,,,,,,,,,,,,16,495,495,,,,,,
Lorenz Theobold,121,495,495,,,,,,,,,,,,,,,,,,,,,,,,,,,15,495,495,,,,,,
Lorenzo Palm,124,494,494,,,,,,,,,,,,,,,10,618,494,,,,,,,,,,,,,,,,,,
Anna We,124,494,494,,,,,,,,,,,,,,,9,618,494,,,,,,,,,,,,,,,,,,
Dennis Erlenbusch,124,494,494,,,,,,,,,,,,,,,9,618,494,,,,,,,,,,,,,,,,,,
Ben Frischen,124,494,494,,,,,,,,,,,,,,,10,618,494,,,,,,,,,,,,,,,,,,
Louis Blum,128,480,480,,,3,800,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Geld,128,480,480,,,3,800,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casper Zomerdijk,130,463,463,,,,,,,,,,,,,,,,,,15,463,463,,,,,,,,,,,,,,,
Twan Schoonen,130,463,463,,,,,,,,,,,,,,,,,,14,463,463,,,,,,,,,,,,,,,
Remco Klaasman,132,425,425,,,,,,,,,,,,16,531,425,,,,,,,,,,,,,,,,,,,,,
Gadiel Rachelson,133,391,391,,,,,,,,,14,652,391,,,,,,,,,,,,,,,,,,,,,,,,
Jim Buhler,133,391,391,,,,,,,,,14,652,391,,,,,,,,,,,,,,,,,,,,,,,,
Ruben Soerel,133,391,391,,,,,,,,,13,652,391,,,,,,,,,,,,,,,,,,,,,,,,
Tomas Juch,133,391,391,,,,,,,,,13,652,391,,,,,,,,,,,,,,,,,,,,,,,,
Thomas van Echtelt,137,367,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,367,367
Niels van Oostrum,137,367,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,367,367
Tom Gobee,137,367,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,367,367
Rowan Westerduin,137,367,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,367,367
Bas Rudolphy,137,367,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,367,367
Liam van Hees,137,367,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,367,367
